userID,Finished,luck,merit,inheritance,SC0,time_submit,treatment,personal_income,education,religion,n_kids,age,female,income_label,redistribution,applied_inequality,high education
039ba0253cb80bae744b02feaf12b675,True,TRUE,FALSE,FALSE,6,107.76,luck,4,5,1,1,63,TRUE,High Income,6,0,TRUE
040ca38cefb1d9226d79c05dd25469cb,True,TRUE,FALSE,FALSE,6,15.334,luck,4,6,1,1,28,TRUE,High Income,6,0,TRUE
04b1f405bc2b567d7e1b73253677abf7,True,FALSE,TRUE,FALSE,8,90.494,merit,1,4,1,4,49,FALSE,Low Income,4,0.3333333333333333,FALSE
05d6f903feb33ea98097b537b4247388,True,FALSE,TRUE,FALSE,8,50.405,merit,3,5,1,1,34,TRUE,Average Income,4,0.3333333333333333,TRUE
06421f5bdd437abc2120676f9b5de141,True,FALSE,TRUE,FALSE,8,78.586,merit,1,4,1,1,60,FALSE,Low Income,4,0.3333333333333333,FALSE
06910cb842f6d58497af36989cf24846,True,FALSE,FALSE,TRUE,8,81.332,inheritance,6,4,1,1,18,FALSE,NA,4,0.3333333333333333,FALSE
073c2ca4a49b2637a1013d69badbb095,True,FALSE,TRUE,FALSE,10,56.914,merit,4,6,1,2,57,FALSE,High Income,2,0.6666666666666666,TRUE
074d749878d53d9647c1b3d92e543c5a,True,TRUE,FALSE,FALSE,6,89.096,luck,1,5,1,0,30,TRUE,Low Income,6,0,TRUE
08184fe275cc06c6eedca6fce1817c5b,True,FALSE,TRUE,FALSE,12,76.026,merit,1,1,1,0,26,TRUE,Low Income,0,1,FALSE
090f8d192c34e198f53938c28c772375,True,FALSE,TRUE,FALSE,10,86.806,merit,6,4,1,1,23,TRUE,NA,2,0.6666666666666666,FALSE
090f9ab99446f75d455cacf85f9d8ed7,True,FALSE,TRUE,FALSE,6,146.3,merit,2,5,1,1,29,TRUE,Low Income,6,0,TRUE
09aa6894316055cad6b726873de0b894,True,FALSE,FALSE,TRUE,8,15.389,inheritance,3,5,1,1,29,TRUE,Average Income,4,0.3333333333333333,TRUE
0a36c70d3f3a6818ec21db502b7123ad,True,FALSE,TRUE,FALSE,6,5.799,merit,3,3,1,1,25,FALSE,Average Income,6,0,FALSE
0b03dead250f2406566af3c6597008e7,True,FALSE,FALSE,TRUE,10,152.564,inheritance,4,6,1,1,34,TRUE,High Income,2,0.6666666666666666,TRUE
0b899259b8cc521f449c2e99e65832a6,True,TRUE,FALSE,FALSE,6,67.09,luck,1,5,1,3,33,TRUE,Low Income,6,0,TRUE
